"","id","mean.rpl","days.open"
"1",1,-0.274794176839489,190
"2",2,-0.241234510071773,190
"3",3,-0.222732993008082,190
"4",4,-0.209653499415014,190
"5",5,-0.199491566425958,190
"6",6,-0.191038215089665,190
"7",7,-0.183798460751568,190
"8",8,-0.177527804600961,190
"9",9,-0.171749165512237,191
"10",10,-0.166507445886264,191
"11",11,-0.161568890097349,191
"12",12,-0.157115106311475,191
"13",13,-0.152952852729378,191
"14",14,-0.149010065589552,191
"15",15,-0.145410592005458,191
"16",16,-0.141797073816279,191
"17",17,-0.138429424395708,192
"18",18,-0.135239349325801,192
"19",19,-0.132194083063686,192
"20",20,-0.129282346627768,192
"21",21,-0.126459945004073,192
"22",22,-0.123715968224754,192
"23",23,-0.121148370358055,192
"24",24,-0.118543291547886,192
"25",25,-0.116084777014823,193
"26",26,-0.113676683670789,193
"27",27,-0.111323545684579,193
"28",28,-0.1090050032628,193
"29",29,-0.106807415917437,193
"30",30,-0.104633089521567,193
"31",31,-0.102431641298364,193
"32",32,-0.100298050599498,193
"33",33,-0.0983693516298766,194
"34",34,-0.0963306899485745,194
"35",35,-0.0943412235525,194
"36",36,-0.0923905326965178,194
"37",37,-0.0904939738212961,194
"38",38,-0.0886815458635629,194
"39",39,-0.0867954128306386,194
"40",40,-0.0849948570664606,194
"41",41,-0.0832560553627108,195
"42",42,-0.0815215607390236,195
"43",43,-0.0797563044706813,195
"44",44,-0.0780492763364831,195
"45",45,-0.0763754403378647,195
"46",46,-0.0747177274723107,195
"47",47,-0.0731082026468596,195
"48",48,-0.0714888376214089,195
"49",49,-0.0699055440623944,196
"50",50,-0.0683075041510646,196
"51",51,-0.0667250347647669,196
"52",52,-0.0651651252780193,196
"53",53,-0.0636244445976525,196
"54",54,-0.062081501306941,196
"55",55,-0.0605490023524396,196
"56",56,-0.0590770194314407,196
"57",57,-0.0575987656867935,197
"58",58,-0.0561422333026292,197
"59",59,-0.0546732203550955,197
"60",60,-0.0531982045296508,197
"61",61,-0.0517240260108516,197
"62",62,-0.0502469713799684,197
"63",63,-0.0488394149870869,197
"64",64,-0.0474481231501459,197
"65",65,-0.0460011626477852,198
"66",66,-0.0446412799863151,198
"67",67,-0.0433103568984969,198
"68",68,-0.0419336773921223,198
"69",69,-0.0405921652088183,198
"70",70,-0.039261359973009,198
"71",71,-0.0379046543176561,198
"72",72,-0.0365371458993611,198
"73",73,-0.0351904676651904,199
"74",74,-0.0338642741269664,199
"75",75,-0.0325179824625365,199
"76",76,-0.0312296532543569,199
"77",77,-0.0299417513547358,199
"78",78,-0.0286363123297387,199
"79",79,-0.0273297949335864,199
"80",80,-0.0260330792719889,199
"81",81,-0.0247171460868163,200
"82",82,-0.0234377973053973,200
"83",83,-0.0221227109456072,200
"84",84,-0.0208104421407241,200
"85",85,-0.0195558077580251,200
"86",86,-0.0182561010095586,200
"87",87,-0.0169916211083316,200
"88",88,-0.0156974403118576,200
"89",89,-0.014456335707392,201
"90",90,-0.0131700485703034,201
"91",91,-0.0118991376693171,201
"92",92,-0.0106140192159018,201
"93",93,-0.00936837674010174,201
"94",94,-0.0081418829796027,201
"95",95,-0.00685651956841006,201
"96",96,-0.00563002097592432,201
"97",97,-0.0044103025832554,202
"98",98,-0.00314224481531649,202
"99",99,-0.00188816788501802,202
"100",100,-0.00059762888147921,202
"101",101,0.000690429971423747,202
"102",102,0.0019304038200756,202
"103",103,0.0031706840007846,202
"104",104,0.00439071692942648,202
"105",105,0.00563823228327718,203
"106",106,0.00687395042233663,203
"107",107,0.00812628038578846,203
"108",108,0.00940010719059355,203
"109",109,0.0105906478785745,203
"110",110,0.0118711327635058,203
"111",111,0.013115617137935,203
"112",112,0.0143762437053675,203
"113",113,0.0156257154680456,204
"114",114,0.0169277484309108,204
"115",115,0.0182216562242335,204
"116",116,0.0195083659965273,204
"117",117,0.0208258806423408,204
"118",118,0.0221005224330323,204
"119",119,0.0233582971690462,204
"120",120,0.0246292121437423,204
"121",121,0.0259088308194499,205
"122",122,0.0272249648705061,205
"123",123,0.0285200863428653,205
"124",124,0.0298234983157732,205
"125",125,0.0311296189818821,205
"126",126,0.0324623752706976,205
"127",127,0.0337950865620317,205
"128",128,0.0351034241385644,205
"129",129,0.0364218619864031,206
"130",130,0.0377197983215315,206
"131",131,0.0390645140094509,206
"132",132,0.0404420118372282,206
"133",133,0.0417950259979092,206
"134",134,0.0431719938900554,206
"135",135,0.0445685115888994,206
"136",136,0.0459490577496037,206
"137",137,0.0473272885010049,207
"138",138,0.0487408702169203,207
"139",139,0.0501753909456093,207
"140",140,0.0516117310144932,207
"141",141,0.0530564309534581,207
"142",142,0.0545016819524444,207
"143",143,0.0559477807925828,207
"144",144,0.0574289997719226,207
"145",145,0.0589003696109633,208
"146",146,0.0603887834650438,208
"147",147,0.0618309623905825,208
"148",148,0.0633342133094058,208
"149",149,0.0648766316446466,208
"150",150,0.0664206390398552,208
"151",151,0.0679489274992983,208
"152",152,0.0695301040757337,208
"153",153,0.0711438312273857,209
"154",154,0.0727504785766227,209
"155",155,0.0743996251383652,209
"156",156,0.0760459590432463,209
"157",157,0.0777639383293586,209
"158",158,0.079445422224279,209
"159",159,0.0812204393043744,209
"160",160,0.0829734212252049,209
"161",161,0.084787961735644,210
"162",162,0.08661931271422,210
"163",163,0.088528464610683,210
"164",164,0.0903778080744992,210
"165",165,0.0922841799994288,210
"166",166,0.0941909957107162,210
"167",167,0.0961634423729352,210
"168",168,0.0980816190397845,210
"169",169,0.10009329680151,211
"170",170,0.102188576340977,211
"171",171,0.104382150120412,211
"172",172,0.106607438371037,211
"173",173,0.10882037688032,211
"174",174,0.111125475261322,211
"175",175,0.11352855094694,211
"176",176,0.115963510584229,211
"177",177,0.118421256947012,212
"178",178,0.120961921378563,212
"179",179,0.123586064556413,212
"180",180,0.126290330025258,212
"181",181,0.12911355148763,212
"182",182,0.132020964638462,212
"183",183,0.135066934023421,212
"184",184,0.138241913762147,212
"185",185,0.141540622235947,213
"186",186,0.14499381733291,213
"187",187,0.148810566899118,213
"188",188,0.152831010506344,213
"189",189,0.156909638297793,213
"190",190,0.161262582557866,213
"191",191,0.165998768249046,213
"192",192,0.171214145479179,213
"193",193,0.176901745154334,214
"194",194,0.18341992796765,214
"195",195,0.190529805789242,214
"196",196,0.199130986358108,214
"197",197,0.209289365639976,214
"198",198,0.222137692004187,214
"199",199,0.240849245472524,214
"200",200,0.274429758945145,215
